Module,Map,Date,Duration (min),Activity
BWIB818,database_fundamentals_3,2026-03-24 20:51,15.53,Study Lab
BWIB818,database_fundamentals_4,2026-03-24 23:45,23.96,Study Lab
BWIB818,database_fundamentals_2.md,2026-03-25 00:12,18.31,Revision
BWIB818,database_fundamentals_2.md,2026-03-25 00:25,12.99,Blurt
BWIB818,database_fundamentals_3.md,2026-03-25 15:32,28.03,Revision
BWIB818,database_fundamentals_3.md,2026-03-25 16:00,10.34,Revision
BWIB818,database_fundamentals_3.md,2026-03-26 00:52,12.09,Revision
BWIB818,database_fundamentals_4.md,2026-03-26 02:05,57.34,Revision
BWIB818,database_fundamentals_4.md,2026-03-27 16:08,3.23,Revision
BWIB818,database_fundamentals_2.md,2026-03-27 16:13,10.77,Blurt
BWIB818,database_fundamentals_3.md,2026-03-27 16:38,24.55,Blurt
BWIB818,database_fundamentals_3.md,2026-03-27 19:09,16.76,Revision
BWIB818,database_fundamentals_2.md,2026-03-28 00:15,7.11,Revision
BWIB818,database_fundamentals_1.md,2026-03-28 00:39,23.33,Revision
BWIB818,dimensional modelling,2026-03-28 19:48,28.67,Study Lab
BWIB818,dimensional modelling,2026-03-28 20:20,14.83,Study Lab
BWIB818,dimensional_modelling,2026-03-28 23:21,4.56,Study Lab
BWIB818,dimensional_modelling,2026-03-29 00:06,45.48,Study Lab
BWIB818,Business_intelligence.md,2026-03-29 10:33,21.45,Blurt
BWIB818,database_fundamentals_1.md,2026-03-29 12:06,34.43,Blurt
BWIB818,database_fundamentals_1.md,2026-03-29 12:19,6.54,Blurt
BWIB818,database_fundamentals_2.md,2026-03-29 12:28,22.09,Revision
BWIB818,database_fundamentals_2.md,2026-03-29 12:28,0.06,Revision
BWIB818,database_fundamentals_1.md,2026-03-29 12:34,5.69,Revision
BWIB818,database_fundamentals_2.md,2026-03-29 21:08,3.98,Revision
BWIB818,database_fundamentals_3.md,2026-03-29 21:50,37.28,Revision
BWIB818,database_fundamentals_4.md,2026-03-29 22:07,5.65,Revision
BWIB818,Business_intelligence.md,2026-03-29 22:09,1.7,Revision
BWIB818,Business_intelligence.md,2026-03-29 22:39,5.59,Blurt
BWIB818,database_fundamentals_2.md,2026-03-29 22:39,14.6,Revision
BWIB818,database_fundamentals_2.md,2026-03-31 00:54,0.65,Revision
BWIB818,database_fundamentals_2.md,2026-03-31 00:55,0.16,Blurt
BWIB817,LP_basics_revision,2026-03-31 03:27,42.53,Study Lab
BWIB817,LP_basics_revision,2026-03-31 23:33,55.33,Study Lab
BWIB817,LP_basics_revision,2026-04-01 00:57,83.95,Study Lab
BWIB817,LP_basics_revision,2026-04-01 02:10,73.34,Study Lab
BWIB817,LP_basics_revision,2026-04-01 02:11,0.88,Study Lab
BWIB817,LP_basics_revision.md,2026-04-01 02:38,1.12,Revision
BWIB817,LP_basics_revision.md,2026-04-01 02:40,0.37,Revision
BWIB817,LP_basics_revision.md,2026-04-01 02:49,0.29,Revision
BWIB817,LP_basics_revision.md,2026-04-01 20:27,0.17,Revision
BWIB817,LP_basics_revision.md,2026-04-01 21:31,14.18,Revision
BWIB817,seminar_5.md,2026-04-01 21:35,1.72,Revision
BWIB817,seminar_5.md,2026-04-01 21:37,2.1,Revision
BWIB817,LP_basics_revision.md,2026-04-01 21:38,0.97,Revision
BWIB817,LP_basics_revision.md,2026-04-01 21:45,1.26,Revision
BWIB817,LP_basics_revision.md,2026-04-01 22:33,3.46,Revision
BWIB822,Acquisition_part_2.md,2026-04-04 02:20,9.59,Revision
BWIB822,acquisition_part_3.md,2026-04-05 12:32,0.83,Revision
